id;btag;wpid;kurs
1166;2007-03-05;707;2.73
1167;2007-03-07;1296;25.17
1168;2007-03-07;711;1.15
1169;2007-03-08;388;2.85
1170;2007-03-08;708;1.51
1172;2007-03-09;686;0.32
1173;2007-03-09;708;1.34
1174;2007-03-12;978;120.03
1175;2007-03-13;977;1.50
1176;2007-03-16;713;98.74
1177;2007-03-23;708;1.76
1178;2007-03-23;686;0.67
1179;2007-03-26;1297;1.62
1184;2007-04-05;1298;1.56
1186;2007-05-14;686;0.99
1187;2007-05-22;1298;1.34
1188;2007-05-22;1297;1.95
1189;2007-05-22;686;1.08
1190;2007-05-24;980;76.69
1191;2007-06-14;1291;62.97
1192;2007-06-14;28;99.68
1193;2007-06-14;1299;1.36
1194;2007-06-22;710;96.65
1196;2007-06-25;1300;2.00
1198;2007-06-26;1293;190.04
1202;2007-07-02;1301;24.00
1203;2007-07-04;18;57.09
1204;2007-07-04;389;1.12
1205;2007-07-04;1301;24.83
